amenity,lat,lon,name,tags,timestamp,address,city
drinking_water,49.2582405,-123.04975520000002,,{},2016-08-17T22:27:17.000-07:00,"{'road': 'Central Valley Greenway', 'city_district': 'Renfrew-Collingwood', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5M', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.16432070000001,-123.1412488,,{},2015-07-02T23:03:14.000-07:00,"{'house_number': '7700', 'road': 'Minoru Gate', 'suburb': 'Brighouse', 'city_district': 'City Centre', 'city': 'Richmond', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6Y', 'country': 'Canada', 'country_code': 'ca'}",Richmond
drinking_water,49.2591402,-123.2225255,,{},2019-01-01T18:50:40.000-08:00,"{'leisure': 'Pacific Spirit Regional Park', 'road': 'Clinton Trail', 'city': 'Electoral Area A', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6N 2C4', 'country': 'Canada', 'country_code': 'ca'}",Electoral Area A
drinking_water,49.27498350000001,-123.2045696,,{},2011-04-10T18:34:05.000-07:00,"{'road': 'Seaside Bike Route', 'city_district': 'West Point Grey', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6R', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.0335901,-122.0069572,,{},2010-05-20T01:31:19.000-07:00,"{'tourism': 'Maple Bay Campground', 'road': 'Spring Creek Drive', 'city': 'Area H (Cultus Lake/Columbia Valley)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'country': 'Canada', 'country_code': 'ca'}",Area H (Cultus Lake/Columbia Valley)
drinking_water,49.0318448,-122.008325,,{},2010-05-20T01:31:18.000-07:00,"{'tourism': 'Maple Bay Campground', 'road': 'Spring Creek Drive', 'city': 'Area H (Cultus Lake/Columbia Valley)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'country': 'Canada', 'country_code': 'ca'}",Area H (Cultus Lake/Columbia Valley)
drinking_water,49.0326101,-122.0061509,,{},2010-05-20T01:31:17.000-07:00,"{'tourism': 'Maple Bay Campground', 'road': 'Spring Creek Drive', 'city': 'Area H (Cultus Lake/Columbia Valley)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'country': 'Canada', 'country_code': 'ca'}",Area H (Cultus Lake/Columbia Valley)
drinking_water,49.0325194,-122.0104808,,{},2010-05-20T01:31:17.000-07:00,"{'tourism': 'Maple Bay Campground', 'road': 'Spring Creek Drive', 'city': 'Area H (Cultus Lake/Columbia Valley)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'country': 'Canada', 'country_code': 'ca'}",Area H (Cultus Lake/Columbia Valley)
drinking_water,49.0330769,-122.0077616,,{},2010-05-20T01:31:16.000-07:00,"{'tourism': 'Maple Bay Campground', 'road': 'Spring Creek Drive', 'city': 'Area H (Cultus Lake/Columbia Valley)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'country': 'Canada', 'country_code': 'ca'}",Area H (Cultus Lake/Columbia Valley)
drinking_water,49.0323737,-122.0058122,,{},2010-05-20T01:31:14.000-07:00,"{'tourism': 'Maple Bay Campground', 'road': 'Spring Creek Drive', 'city': 'Area H (Cultus Lake/Columbia Valley)', 'county': 'Fraser Valley Regional District', 'state': 'British Columbia', 'country': 'Canada', 'country_code': 'ca'}",Area H (Cultus Lake/Columbia Valley)
drinking_water,49.2719437,-123.1254376,,"{'access': 'yes', 'fee': 'no'}",2019-07-19T18:48:11.000-07:00,"{'road': 'Seaside Bike Route', 'neighbourhood': 'Yaletown', 'city_district': 'Downtown', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6Z', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.1640747,-123.1409442,,{},2017-02-10T02:11:16.000-08:00,"{'house_number': '7700', 'road': 'Minoru Gate', 'suburb': 'Brighouse', 'city_district': 'City Centre', 'city': 'Richmond', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6Y', 'country': 'Canada', 'country_code': 'ca'}",Richmond
drinking_water,49.0083745,-123.1299458,,"{'indoor': 'yes', 'fee': 'no'}",2019-02-04T00:35:50.000-08:00,"{'house_number': '1', 'road': 'Ferry Causeway', 'city': 'Delta', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V4M 2P3', 'country': 'Canada', 'country_code': 'ca'}",Delta
drinking_water,49.2723951,-123.1232965,,"{'access': 'yes', 'covered': 'no', 'fee': 'no'}",2019-07-19T19:18:36.000-07:00,"{'road': 'Seaside Bike Route', 'neighbourhood': 'Yaletown', 'city_district': 'Downtown', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6Z', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.2621651,-123.1553415,,{},2010-05-06T22:19:25.000-07:00,"{'road': 'Marstrand Avenue', 'city_district': 'Kitsilano', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V6K', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.2425579,-123.1049238,,{},2017-04-20T07:30:55.000-07:00,"{'leisure': 'Scotiabank Field at Nat Bailey Stadium', 'house_number': '4601', 'road': 'Ontario Street', 'neighbourhood': 'Riley Park', 'city_district': 'Riley Park', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5Y 3H4', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
drinking_water,49.3280116,-122.9496081,,{},2019-12-22T03:08:58.000-08:00,"{'amenity': 'Panorama Park Washrooms', 'road': 'Panorama Drive', 'suburb': 'Deep Cove', 'city': 'District of North Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7G 2L8', 'country': 'Canada', 'country_code': 'ca'}",District of North Vancouver
drinking_water,49.1956285,-123.1737719,,{},2017-07-12T20:49:34.000-07:00,"{'aeroway': '6', 'road': 'Canadian Service Road', 'city_district': 'Sea Island', 'city': 'Richmond', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V7B 0X0', 'country': 'Canada', 'country_code': 'ca'}",Richmond
drinking_water,49.2559,-123.1124537,,{},2018-01-12T03:26:22.000-08:00,"{'road': 'West 17th Avenue', 'neighbourhood': 'Cambie Village', 'city_district': 'Riley Park', 'city': 'Vancouver', 'municipality': 'District of North Vancouver', 'county': 'Metro Vancouver Regional District', 'state': 'British Columbia', 'postcode': 'V5V', 'country': 'Canada', 'country_code': 'ca'}",Vancouver
